"","Title","Action","Adventure","Animation","Childrens","Comedy","Crime","Documentary","Drama","Fantasy","FilmNoir","Horror","Musical","Mystery","Romance","SciFi","Thriller","War","Western"
"1","Toy Story (1995)",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","GoldenEye (1995)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3","Four Rooms (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"4","Get Shorty (1995)",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"5","Copycat (1995)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"6","Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"7","Twelve Monkeys (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"8","Babe (1995)",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"9","Dead Man Walking (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"10","Richard III (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"11","Seven (Se7en) (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"12","Usual Suspects, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"13","Mighty Aphrodite (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Postino, Il (1994)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"15","Mr. Holland's Opus (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"16","French Twist (Gazon maudit) (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"17","From Dusk Till Dawn (1996)",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"18","White Balloon, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"19","Antonia's Line (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"20","Angels and Insects (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"21","Muppet Treasure Island (1996)",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"22","Braveheart (1995)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"23","Taxi Driver (1976)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"24","Rumble in the Bronx (1995)",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"25","Birdcage, The (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Brothers McMullen, The (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Bad Boys (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Apollo 13 (1995)",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"29","Batman Forever (1995)",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"30","Belle de jour (1967)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"31","Crimson Tide (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"32","Crumb (1994)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
